Company,Item,Category,Calories,Calories Category,Calories from Fat,Calories from Fat Category,Total Fat (g),Total Fat (g) Category,Saturated Fat (g),Saturated Fat (g) Category,Trans Fat (g),Trans Fat (g) Category,Cholesterol (mg),Cholesterol (mg) Category,Sodium (mg),Sodium (mg) Category,Carbs (g),Carbs (g) Category,Fiber (g),Fiber (g) Category,Sugars (g),Sugars (g) Category,Protein (g),Protein (g) Category,Weight Watchers Pnts,Weight Watchers Pnts Category
McDonald’s,Premium Southwest Salad with Grilled Chicken,Chicken Sandwich / Wrap,320,Low,80,Low,9,Low,3,Low,0,Low,70,Low,960,Low,30,Low,6,Low,11,Low,30,Mid,304,Low
McDonald’s,Premium Southwest Salad with Crispy Chicken,Chicken Sandwich / Wrap,430,Mid,180,Low,20,Low,4,Low,0,Low,55,Low,920,Low,38,Low,6,Low,12,Low,26,Mid,420,Low
McDonald’s,Premium Southwest Salad (without chicken),Salad,140,Low,40,Low,4.5,Low,2,Low,0,Low,10,Low,150,Low,20,Low,6,Low,6,Low,6,Low,142,Low
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,Chicken Sandwich / Wrap,260,Low,90,Low,9,Low,4,Low,0,Low,90,Low,1010,Mid,12,Low,3,Low,5,Low,33,Mid,236,Low
McDonald’s,Premium Bacon Ranch Salad with Crispy Chicken,Chicken Sandwich / Wrap,370,Low,180,Low,20,Low,6,Low,0,Low,75,Low,970,Mid,20,Low,3,Low,6,Low,29,Mid,353,Low
McDonald’s,Premium Bacon Ranch Salad (without chicken),Salad,140,Low,70,Low,7,Low,3.5,Low,0,Low,25,Low,300,Low,10,Low,3,Low,4,Low,9,Low,138.5,Low
McDonald’s,Premium Caesar Salad with Grilled Chicken,Chicken Sandwich / Wrap,220,Low,60,Low,6,Low,3,Low,0,Low,75,Low,890,Low,12,Low,3,Low,5,Low,30,Mid,198,Low
McDonald’s,Premium Caesar Salad with Crispy Chicken,Chicken Sandwich / Wrap,330,Low,150,Low,17,Low,4.5,Low,0,Low,60,Low,840,Low,20,Low,3,Low,6,Low,26,Mid,314.5,Low
McDonald’s,Premium Caesar Salad (without chicken),Salad,90,Low,35,Low,4,Low,2.5,Low,0,Low,10,Low,180,Low,9,Low,3,Low,4,Low,7,Low,89.5,Low
McDonald’s,Side Salad,Side,20,Low,0,Low,0,Low,0,Low,0,Low,0,Low,10,Low,4,Low,1,Low,2,Low,1,Low,21,Low
McDonald’s,Butter Garlic Croutons,Side,60,Low,15,Low,1.5,Low,0,Low,0,Low,0,Low,140,Low,10,Low,1,Low,0,Low,2,Low,58,Low
McDonald’s,Snack Size Fruit & Walnut Salad,Salad,210,Low,70,Low,8,Low,1.5,Low,0,Low,5,Low,60,Low,31,Low,2,Low,25,Low,4,Low,232.5,Low
McDonald’s,Salad Dressings,Salad,375.625,Low,53.75,Low,19.46875,Low,5.5,Low,0.1875,Low,62.8125,Low,799.375,Low,30.8125,Low,4.875,Low,14.6875,Low,20.6875,Low,375.1875,Low
McDonald’s,Newman’s Own® Creamy Southwest Dressing,Other,100,Low,50,Low,6,Low,1,Low,0,Low,20,Low,340,Low,11,Low,0,Low,3,Low,1,Low,103,Low
McDonald’s,Newman’s Own® Creamy Caesar Dressing,Other,190,Low,170,Low,18,Low,3.5,Low,0,Low,20,Low,500,Low,4,Low,0,Low,2,Low,2,Low,193.5,Low
McDonald’s,Newman’s Own® Low Fat Balsamic Vinaigrette,Other,40,Low,25,Low,3,Low,0,Low,0,Low,0,Low,730,Low,4,Low,0,Low,3,Low,0,Low,43,Low
McDonald’s,Newman’s Own® Low Fat Family Recipe Italian Dressing,Other,60,Low,20,Low,2.5,Low,0,Low,0,Low,0,Low,730,Low,8,Low,0,Low,1,Low,1,Low,60,Low
McDonald’s,Newman’s Own® Ranch Dressing,Other,170,Low,130,Low,15,Low,2.5,Low,0,Low,20,Low,530,Low,9,Low,0,Low,4,Low,1,Low,175.5,Low
McDonald’s,Egg McMuffin®,Breakfast,300,Low,110,Low,12,Low,5,Low,0,Low,260,Mid,820,Low,30,Low,2,Low,3,Low,18,Low,290,Low
McDonald’s,Sausage McMuffin®,Breakfast,370,Low,200,Low,22,Low,8,Low,0,Low,45,Low,850,Low,29,Low,2,Low,2,Low,14,Low,366,Low
McDonald’s,Sausage McMuffin® with Egg,Breakfast,450,Mid,250,Low,27,Low,10,Low,0,Low,285,Mid,920,Low,30,Low,2,Low,2,Low,21,Low,441,Mid
McDonald’s,English Muffin,Other,160,Low,30,Low,3,Low,0.5,Low,0,Low,0,Low,280,Low,27,Low,2,Low,2,Low,5,Low,157.5,Low
McDonald’s,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",Breakfast,420,Mid,210,Low,23,Low,12,Mid,0,Low,235,Mid,1160,Mid,37,Low,2,Low,3,Low,15,Low,420,Low
McDonald’s,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",Breakfast,480,Mid,240,Low,27,Low,12,Mid,0,Low,235,Mid,1270,Mid,43,Low,3,Low,4,Low,15,Low,481,Mid
McDonald’s,Sausage Biscuit with Egg (Regular Size Biscuit),Breakfast,510,Mid,290,Mid,33,Mid,14,Mid,0,Low,250,Mid,1170,Mid,36,Low,2,Low,2,Low,18,Low,508,Mid
McDonald’s,Sausage Biscuit with Egg (Large Size Biscuit),Breakfast,570,Mid,330,Mid,37,Mid,15,Mid,0,Low,250,Mid,1280,Mid,42,Low,3,Low,3,Low,18,Low,570,Mid
McDonald’s,Sausage Biscuit (Regular Size Biscuit),Breakfast,430,Mid,240,Low,27,Low,12,Mid,0,Low,30,Low,1080,Mid,34,Low,2,Low,2,Low,11,Low,433,Low
McDonald’s,Sausage Biscuit (Large Size Biscuit),Breakfast,480,Mid,280,Mid,31,Low,13,Mid,0,Low,30,Low,1190,Mid,39,Low,3,Low,3,Low,11,Low,485,Mid
McDonald’s,Southern Style Chicken Biscuit (Regular Size Biscuit),Breakfast,410,Mid,180,Low,20,Low,8,Low,0,Low,30,Low,1180,Mid,41,Low,2,Low,3,Low,17,Low,404,Low
McDonald’s,Southern Style Chicken Biscuit (Large Size Biscuit),Breakfast,470,Mid,220,Low,24,Low,9,Low,0,Low,30,Low,1290,Mid,46,Low,3,Low,4,Low,17,Low,466,Mid
McDonald’s,"Steak, Egg & Cheese Bagel",Breakfast,660,Mid,300,Mid,33,Mid,12,Mid,1,Low,300,Mid,1580,Mid,56,Low,3,Low,7,Low,33,Mid,646,Mid
McDonald’s,"Bacon, Egg & Cheese McGriddles®",Breakfast,420,Mid,160,Low,18,Low,8,Low,0,Low,240,Mid,1110,Mid,48,Low,2,Low,15,Low,15,Low,428,Low
McDonald’s,"Sausage, Egg & Cheese McGriddles®",Breakfast,560,Mid,290,Mid,32,Low,12,Mid,0,Low,265,Mid,1360,Mid,48,Low,2,Low,15,Low,20,Low,567,Mid
McDonald’s,Sausage McGriddles®,Breakfast,420,Mid,200,Low,22,Low,8,Low,0,Low,35,Low,1030,Mid,44,Low,2,Low,15,Low,11,Low,432,Low
McDonald’s,Big Breakfast® (Regular Size Biscuit),Breakfast,740,Mid,430,Mid,48,Mid,17,Mid,0,Low,555,High,1560,Mid,51,Low,3,Low,3,Low,28,Mid,732,Mid
McDonald’s,Big Breakfast® (Large Size Biscuit),Breakfast,800,Mid,470,Mid,52,Mid,18,Mid,0,Low,555,High,1680,Mid,56,Low,4,Low,3,Low,28,Mid,793,Mid
McDonald’s,Big Breakfast with Hotcakes (Regular Size Biscuit),Breakfast,1090,High,510,High,56,Mid,19,Mid,0,Low,575,High,2150,High,111,Mid,6,Low,17,Low,36,Mid,1090,High
McDonald’s,Big Breakfast with Hotcakes (Large Size Biscuit),Breakfast,1150,High,540,High,60,Mid,20,Mid,0,Low,575,High,2260,High,116,Mid,7,Low,17,Low,36,Mid,1151,High
McDonald’s,Sausage Burrito,Burrito,300,Low,140,Low,16,Low,7,Low,0,Low,115,Low,830,Low,26,Low,1,Low,2,Low,12,Low,297,Low
McDonald’s,McSkillet™ Burrito with Sausage,Burrito,610,Mid,320,Mid,36,Mid,14,Mid,0.5,Low,410,High,1390,Mid,44,Low,3,Low,4,Low,27,Mid,601,Mid
McDonald’s,Hotcakes,Breakfast,350,Low,80,Low,9,Low,2,Low,0,Low,20,Low,590,Low,60,Low,3,Low,14,Low,8,Low,358,Low
McDonald’s,Hotcakes and Sausage,Breakfast,520,Mid,210,Low,24,Low,7,Low,0,Low,50,Low,930,Low,61,Low,3,Low,14,Low,15,Low,526,Mid
McDonald’s,Hotcake Syrup,Breakfast,180,Low,0,Low,0,Low,0,Low,0,Low,0,Low,20,Low,45,Low,0,Low,32,Low,0,Low,212,Low
McDonald’s,Whipped Margarine (1 pat),Other,40,Low,40,Low,4.5,Low,1.5,Low,0,Low,0,Low,55,Low,0,Low,0,Low,0,Low,0,Low,41.5,Low
McDonald’s,Hash Brown,Breakfast,150,Low,80,Low,9,Low,1.5,Low,0,Low,0,Low,310,Low,15,Low,2,Low,0,Low,1,Low,150.5,Low
McDonald’s,Grape Jam,Condiment / Sauce,35,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,9,Low,0,Low,9,Low,0,Low,44,Low
McDonald’s,Strawberry Preserves,Other,35,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,9,Low,0,Low,9,Low,0,Low,44,Low
McDonald’s,"Bacon, Egg & Cheese Bagel",Breakfast,560,Mid,240,Low,27,Low,9,Low,0.5,Low,260,Mid,1300,Mid,56,Low,3,Low,7,Low,24,Mid,552,Mid
McDonald’s,Fruit & Maple Oatmeal,Other,290,Low,40,Low,4.5,Low,2,Low,0,Low,10,Low,160,Low,57,Low,5,Low,32,Low,5,Low,319,Low
McDonald’s,Fruit & Maple Oatmeal without Brown Sugar,Other,260,Low,40,Low,4.5,Low,2,Low,0,Low,10,Low,115,Low,48,Low,5,Low,18,Low,5,Low,275,Low
McDonald’s,Hamburger Happy Meal,Burger,475,Mid,362.4,Mid,16,Low,5.5,Low,0,Low,40,Low,690,Low,62,Low,2,Low,20,Low,22,Low,600.5606061,Mid
McDonald’s,4 Piece Chicken McNuggets Happy Meal,Nuggets / Wings / Tenders,395,Low,232.2222222,Low,17,Low,3.5,Low,0,Low,35,Low,510,Low,41,Low,1,Low,14,Low,19,Low,291.3448276,Low
McDonald’s,6 Piece Chicken McNuggets® Happy Meal,Nuggets / Wings / Tenders,475,Mid,232.2222222,Low,22,Low,4.5,Low,0,Low,50,Low,680,Low,46,Low,2,Low,14,Low,24,Mid,291.3448276,Low
McDonald’s,Fruit ‘n Yogurt Parfait (7 oz),Dessert,160,Low,20,Low,2,Low,1,Low,0,Low,5,Low,85,Low,31,Low,1,Low,21,Low,4,Low,178,Low
McDonald’s,Low Fat Caramel Dip,Other,70,Low,5,Low,0.5,Low,0,Low,0,Low,5,Low,35,Low,15,Low,0,Low,9,Low,0,Low,79,Low
McDonald’s,Vanilla Reduced Fat Ice Cream Cone,Dessert,150,Low,35,Low,3.5,Low,2,Low,0,Low,15,Low,60,Low,24,Low,0,Low,18,Low,4,Low,166,Low
McDonald’s,Kiddie Cone,Dessert,45,Low,10,Low,1,Low,0.5,Low,0,Low,5,Low,20,Low,8,Low,0,Low,6,Low,1,Low,50.5,Low
McDonald’s,Strawberry Sundae,Dessert,280,Low,60,Low,6,Low,4,Low,0,Low,25,Low,95,Low,49,Low,1,Low,45,Low,6,Low,323,Low
McDonald’s,Hot Caramel Sundae,Dessert,340,Low,70,Low,8,Low,5,Low,0,Low,30,Low,160,Low,60,Low,1,Low,44,Low,7,Low,382,Low
McDonald’s,Hot Fudge Sundae,Dessert,330,Low,90,Low,10,Low,7,Low,0,Low,25,Low,180,Low,54,Low,2,Low,48,Low,8,Low,377,Low
McDonald’s,Peanuts (for Sundaes),Dessert,45,Low,30,Low,3.5,Low,0.5,Low,0,Low,0,Low,0,Low,2,Low,1,Low,0,Low,2,Low,43.5,Low
McDonald’s,McFlurry® with M&M’S® Candies (12 fl oz cup),Dessert,710,Mid,230,Low,25,Low,16,Mid,1,Low,60,Low,220,Low,105,Mid,4,Low,97,Mid,15,Low,808,Mid
McDonald’s,McFlurry® with OREO® Cookies (12 fl oz cup),Dessert,580,Mid,170,Low,19,Low,10,Low,1,Low,50,Low,320,Low,89,Low,3,Low,73,Low,13,Low,650,Mid
McDonald’s,Baked Hot Apple Pie,Dessert,250,Low,110,Low,13,Low,7,Low,0,Low,0,Low,170,Low,32,Low,4,Low,13,Low,2,Low,268,Low
McDonald’s,Cinnamon Melts,Dessert,460,Mid,170,Low,19,Low,9,Low,0,Low,15,Low,370,Low,66,Low,3,Low,32,Low,6,Low,495,Mid
McDonald’s,McDonaldland® Cookies,Dessert,260,Low,70,Low,8,Low,2.5,Low,0,Low,0,Low,300,Low,43,Low,1,Low,13,Low,4,Low,271.5,Low
McDonald’s,Chocolate Chip Cookie,Dessert,160,Low,70,Low,8,Low,3.5,Low,0,Low,10,Low,90,Low,21,Low,1,Low,15,Low,2,Low,176.5,Low
McDonald’s,Oatmeal Raisin Cookie,Dessert,150,Low,50,Low,6,Low,2.5,Low,0,Low,10,Low,135,Low,22,Low,1,Low,13,Low,2,Low,163.5,Low
McDonald’s,Sugar Cookie,Dessert,160,Low,60,Low,7,Low,3,Low,0,Low,5,Low,120,Low,21,Low,0,Low,11,Low,2,Low,172,Low
McDonald’s,Apple Dippers with Low Fat Caramel Dip,Other,100,Low,5,Low,0.5,Low,0,Low,0,Low,5,Low,35,Low,23,Low,0,Low,15,Low,0,Low,115,Low
McDonald’s,Chocolate McCafé® Shake (12 fl oz cup),Drink,580,Mid,150,Low,17,Low,10,Low,1,Low,50,Low,240,Low,94,Mid,1,Low,77,Low,11,Low,656,Mid
McDonald’s,Chocolate McCafé® Shake (16 fl oz cup),Drink,720,Mid,180,Low,20,Low,12,Mid,1,Low,60,Low,300,Low,119,Mid,1,Low,98,Mid,15,Low,815,Mid
McDonald’s,Chocolate McCafé® Shake (22 fl oz cup),Drink,880,High,220,Low,24,Low,15,Mid,1.5,Low,75,Low,370,Low,147,Mid,1,Low,121,Mid,18,Low,998,High
McDonald’s,Chocolate Triple Thick® Shake (12 fl oz cup),Drink,440,Mid,90,Low,10,Low,6,Low,0.5,Low,40,Low,190,Low,76,Low,1,Low,63,Low,10,Low,499,Mid
McDonald’s,Chocolate Triple Thick® Shake (16 fl oz cup),Drink,580,Mid,120,Low,14,Low,8,Low,1,Low,50,Low,250,Low,102,Mid,1,Low,84,Low,13,Low,659,Mid
McDonald’s,Chocolate Triple Thick® Shake (21 fl oz cup),Drink,770,Mid,160,Low,18,Low,11,Low,1,Low,70,Low,330,Low,134,Mid,1,Low,111,Mid,18,Low,874,Mid
McDonald’s,Chocolate Triple Thick® Shake (32 fl oz cup),Drink,1160,High,240,Low,27,Low,16,Mid,2,Mid,100,Low,510,Low,203,High,2,Low,168,Mid,27,Mid,1317,High
McDonald’s,Snack Size McFlurry® with M&M’S® Candies,Dessert,430,Mid,140,Low,16,Low,10,Low,0.5,Low,35,Low,130,Low,64,Low,2,Low,59,Low,9,Low,490,Mid
McDonald’s,Snack Size McFlurry® with OREO® Cookies,Dessert,340,Low,100,Low,12,Low,6,Low,0,Low,30,Low,200,Low,53,Low,2,Low,43,Low,8,Low,381,Low
McDonald’s,Strawberry McCafé® Shake (12 fl oz cup),Drink,570,Mid,150,Low,17,Low,10,Low,1,Low,50,Low,170,Low,92,Mid,0,Low,79,Low,11,Low,648,Mid
McDonald’s,Strawberry McCafé® Shake (16 fl oz cup),Drink,710,Mid,180,Low,20,Low,12,Mid,1,Low,65,Low,210,Low,116,Mid,0,Low,100,Mid,14,Low,808,Mid
McDonald’s,Strawberry McCafé® Shake (22 fl oz cup),Drink,860,High,220,Low,24,Low,15,Mid,1.5,Low,75,Low,260,Low,144,Mid,0,Low,124,Mid,18,Low,981,High
McDonald’s,Strawberry Triple Thick® Shake (12 fl oz cup),Drink,420,Mid,90,Low,10,Low,6,Low,0.5,Low,40,Low,130,Low,73,Low,0,Low,63,Low,10,Low,479,Mid
McDonald’s,Strawberry Triple Thick® Shake (16 fl oz cup),Drink,560,Mid,120,Low,13,Low,8,Low,1,Low,50,Low,170,Low,97,Mid,0,Low,84,Low,13,Low,639,Mid
McDonald’s,Strawberry Triple Thick® Shake (21 fl oz cup),Drink,740,Mid,160,Low,18,Low,11,Low,1,Low,70,Low,230,Low,128,Mid,0,Low,111,Mid,17,Low,845,Mid
McDonald’s,Strawberry Triple Thick® Shake (32 fl oz cup),Drink,1110,High,240,Low,26,Low,16,Mid,2,Mid,100,Low,350,Low,194,High,0,Low,168,Mid,25,Mid,1269,High
McDonald’s,Vanilla McCafé® Shake (12 fl oz cup),Drink,540,Mid,150,Low,16,Low,10,Low,1,Low,45,Low,170,Low,88,Low,0,Low,64,Low,10,Low,604,Mid
McDonald’s,Vanilla McCafé® Shake (16 fl oz cup),Drink,680,Mid,180,Low,20,Low,12,Mid,1,Low,60,Low,220,Low,111,Mid,0,Low,82,Low,14,Low,760,Mid
McDonald’s,Vanilla McCafé® Shake (22 fl oz cup),Drink,830,High,210,Low,24,Low,14,Mid,1.5,Low,75,Low,270,Low,138,Mid,0,Low,103,Mid,17,Low,930,High
McDonald’s,Vanilla Triple Thick Shake® (32 fl oz cup),Drink,1110,High,240,Low,26,Low,16,Mid,2,Mid,100,Low,370,Low,193,High,0,Low,145,Mid,25,Mid,1246,High
McDonald’s,Vanilla Triple Thick® Shake (12 fl oz cup),Drink,420,Mid,90,Low,10,Low,6,Low,0.5,Low,40,Low,140,Low,72,Low,0,Low,54,Low,9,Low,471,Mid
McDonald’s,Vanilla Triple Thick® Shake (16 fl oz cup),Drink,550,Mid,120,Low,13,Low,8,Low,1,Low,50,Low,190,Low,96,Mid,0,Low,72,Low,13,Low,617,Mid
McDonald’s,Vanilla Triple Thick® Shake (21 fl oz cup),Drink,740,Mid,160,Low,18,Low,11,Low,1,Low,70,Low,250,Low,128,Mid,0,Low,96,Mid,17,Low,830,Mid
McDonald’s,1% Low Fat Milk Jug,Drink,100,Low,20,Low,2.5,Low,1.5,Low,0,Low,10,Low,125,Low,12,Low,0,Low,12,Low,8,Low,105.5,Low
McDonald’s,1% Low Fat Chocolate Milk Jug,Drink,170,Low,25,Low,3,Low,1.5,Low,0,Low,5,Low,150,Low,26,Low,1,Low,25,Low,9,Low,187.5,Low
McDonald’s,Minute Maid® 100% Apple Juice Box,Drink,100,Low,0,Low,0,Low,0,Low,0,Low,0,Low,15,Low,23,Low,0,Low,22,Low,0,Low,122,Low
McDonald’s,Dasani® Water,Drink,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low
McDonald’s,Minute Maid® Orange Juice (Small),Drink,150,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,30,Low,0,Low,30,Low,2,Low,178,Low
McDonald’s,Minute Maid® Orange Juice (Medium),Drink,190,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,39,Low,0,Low,39,Low,3,Low,226,Low
McDonald’s,Minute Maid® Orange Juice (Large),Drink,280,Low,0,Low,0,Low,0,Low,0,Low,0,Low,5,Low,58,Low,0,Low,58,Low,4,Low,334,Low
McDonald’s,Coca-Cola® Classic (Child),Other,110,Low,0,Low,0,Low,0,Low,0,Low,0,Low,5,Low,29,Low,0,Low,29,Low,0,Low,139,Low
McDonald’s,Coca-Cola® Classic (Small),Other,150,Low,0,Low,0,Low,0,Low,0,Low,0,Low,10,Low,40,Low,0,Low,40,Low,0,Low,190,Low
McDonald’s,Coca-Cola® Classic (Medium),Other,210,Low,0,Low,0,Low,0,Low,0,Low,0,Low,15,Low,58,Low,0,Low,58,Low,0,Low,268,Low
McDonald’s,Coca-Cola® Classic (Large),Other,310,Low,0,Low,0,Low,0,Low,0,Low,0,Low,20,Low,86,Low,0,Low,86,Low,0,Low,396,Low
McDonald’s,Diet Coke® (Child),Drink,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,15,Low,0,Low,0,Low,0,Low,0,Low,0,Low
McDonald’s,Diet Coke® (Small),Drink,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,20,Low,0,Low,0,Low,0,Low,0,Low,0,Low
McDonald’s,Diet Coke® (Medium),Drink,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,30,Low,0,Low,0,Low,0,Low,0,Low,0,Low
McDonald’s,Diet Coke® (Large),Drink,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,45,Low,0,Low,0,Low,0,Low,0,Low,0,Low
McDonald’s,Sprite® (Child),Drink,110,Low,0,Low,0,Low,0,Low,0,Low,0,Low,30,Low,28,Low,0,Low,28,Low,0,Low,138,Low
McDonald’s,Sprite® (Small),Drink,150,Low,0,Low,0,Low,0,Low,0,Low,0,Low,40,Low,39,Low,0,Low,39,Low,0,Low,189,Low
McDonald’s,Sprite® (Medium),Drink,210,Low,0,Low,0,Low,0,Low,0,Low,0,Low,55,Low,56,Low,0,Low,56,Low,0,Low,266,Low
McDonald’s,Sprite® (Large),Drink,310,Low,0,Low,0,Low,0,Low,0,Low,0,Low,80,Low,83,Low,0,Low,83,Low,0,Low,393,Low
McDonald’s,Hi-C® Orange Lavaburst (Child),Other,120,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,32,Low,0,Low,32,Low,0,Low,152,Low
McDonald’s,Hi-C® Orange Lavaburst (Small),Other,160,Low,0,Low,0,Low,0,Low,0,Low,0,Low,5,Low,44,Low,0,Low,44,Low,0,Low,204,Low
McDonald’s,Hi-C® Orange Lavaburst (Medium),Other,240,Low,0,Low,0,Low,0,Low,0,Low,0,Low,10,Low,64,Low,0,Low,64,Low,0,Low,304,Low
McDonald’s,Hi-C® Orange Lavaburst (Large),Other,350,Low,0,Low,0,Low,0,Low,0,Low,0,Low,10,Low,94,Mid,0,Low,94,Mid,0,Low,444,Mid
McDonald’s,POWERade® Mountain Blast (Child),Other,70,Low,0,Low,0,Low,0,Low,0,Low,0,Low,65,Low,20,Low,0,Low,16,Low,0,Low,86,Low
McDonald’s,POWERade® Mountain Blast (Small),Other,100,Low,0,Low,0,Low,0,Low,0,Low,0,Low,85,Low,27,Low,0,Low,21,Low,0,Low,121,Low
McDonald’s,POWERade® Mountain Blast (Medium),Other,150,Low,0,Low,0,Low,0,Low,0,Low,0,Low,130,Low,39,Low,0,Low,31,Low,0,Low,181,Low
McDonald’s,POWERade® Mountain Blast (Large),Other,220,Low,0,Low,0,Low,0,Low,0,Low,0,Low,190,Low,58,Low,0,Low,46,Low,0,Low,266,Low
McDonald’s,Iced Tea (Child),Drink,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,5,Low,0,Low,0,Low,0,Low,0,Low,0,Low
McDonald’s,Iced Tea (Small),Drink,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,10,Low,0,Low,0,Low,0,Low,0,Low,0,Low
McDonald’s,Iced Tea (Medium),Drink,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,15,Low,0,Low,0,Low,0,Low,0,Low,0,Low
McDonald’s,Iced Tea (Large),Drink,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,20,Low,1,Low,0,Low,0,Low,0,Low,0,Low
McDonald’s,Coffee (Small),Drink,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low
McDonald’s,Coffee (Large),Drink,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low
McDonald’s,Coffee Cream,Drink,20,Low,20,Low,2,Low,1.5,Low,0,Low,10,Low,15,Low,0,Low,0,Low,0,Low,0,Low,21.5,Low
McDonald’s,Sugar Packet,Condiment / Sauce,15,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,4,Low,0,Low,4,Low,0,Low,19,Low
McDonald’s,EQUAL® 0 Calorie Sweetener,Other,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,1,Low,0,Low,1,Low,0,Low,1,Low
McDonald’s,SPLENDA® No Calorie Sweetener,Other,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,1,Low,0,Low,1,Low,0,Low,1,Low
McDonald’s,Iced Coffee– Caramel (Small),Drink,130,Low,50,Low,5,Low,3.5,Low,0,Low,20,Low,80,Low,21,Low,0,Low,20,Low,1,Low,152.5,Low
McDonald’s,Iced Coffee– Caramel (Medium),Drink,190,Low,70,Low,8,Low,5,Low,0,Low,30,Low,115,Low,27,Low,0,Low,27,Low,2,Low,220,Low
McDonald’s,Iced Coffee– Caramel (Large),Drink,270,Low,100,Low,11,Low,7,Low,0,Low,40,Low,160,Low,41,Low,0,Low,41,Low,2,Low,316,Low
McDonald’s,Iced Coffee– Hazelnut (Small),Drink,130,Low,50,Low,5,Low,3.5,Low,0,Low,20,Low,40,Low,21,Low,0,Low,21,Low,1,Low,153.5,Low
McDonald’s,Iced Coffee– Hazelnut (Medium),Drink,190,Low,70,Low,8,Low,5,Low,0,Low,30,Low,60,Low,29,Low,0,Low,29,Low,2,Low,222,Low
McDonald’s,Iced Coffee– Hazelnut (Large),Drink,270,Low,100,Low,11,Low,7,Low,0,Low,40,Low,85,Low,43,Low,0,Low,43,Low,2,Low,318,Low
McDonald’s,Iced Coffee– Regular (Small),Drink,140,Low,50,Low,5,Low,3.5,Low,0,Low,20,Low,40,Low,22,Low,0,Low,22,Low,1,Low,164.5,Low
McDonald’s,Iced Coffee– Regular (Medium),Drink,200,Low,70,Low,8,Low,5,Low,0,Low,30,Low,60,Low,30,Low,0,Low,30,Low,2,Low,233,Low
McDonald’s,Iced Coffee– Regular (Large),Drink,280,Low,100,Low,11,Low,7,Low,0,Low,40,Low,85,Low,45,Low,0,Low,45,Low,2,Low,330,Low
McDonald’s,Iced Coffee– Vanilla (Small),Drink,130,Low,50,Low,5,Low,3.5,Low,0,Low,20,Low,40,Low,21,Low,0,Low,21,Low,1,Low,153.5,Low
McDonald’s,Iced Coffee– Vanilla (Medium),Drink,190,Low,70,Low,8,Low,5,Low,0,Low,30,Low,60,Low,29,Low,0,Low,28,Low,2,Low,221,Low
McDonald’s,Iced Coffee– Vanilla (Large),Drink,270,Low,100,Low,11,Low,7,Low,0,Low,40,Low,80,Low,43,Low,0,Low,43,Low,2,Low,318,Low
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Small),Drink,60,Low,50,Low,5,Low,3.5,Low,0,Low,20,Low,70,Low,8,Low,0,Low,1,Low,1,Low,63.5,Low
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Medium),Drink,90,Low,70,Low,8,Low,5,Low,0,Low,30,Low,100,Low,11,Low,0,Low,2,Low,2,Low,95,Low
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Large),Drink,120,Low,100,Low,11,Low,7,Low,0,Low,40,Low,140,Low,16,Low,0,Low,2,Low,2,Low,127,Low
McDonald’s,Sweet Tea (Child),Drink,110,Low,0,Low,0,Low,0,Low,0,Low,0,Low,5,Low,27,Low,0,Low,27,Low,0,Low,137,Low
McDonald’s,Sweet Tea (Large),Drink,280,Low,0,Low,0,Low,0,Low,0,Low,0,Low,15,Low,69,Low,0,Low,69,Low,1,Low,348,Low
McDonald’s,Sweet Tea (Medium),Drink,180,Low,0,Low,0,Low,0,Low,0,Low,0,Low,10,Low,45,Low,0,Low,45,Low,1,Low,224,Low
McDonald’s,Sweet Tea (Small),Drink,150,Low,0,Low,0,Low,0,Low,0,Low,0,Low,10,Low,36,Low,0,Low,36,Low,1,Low,185,Low
