Company,Item,Category,Calories,Calories Category,Calories from Fat,Calories from Fat Category,Total Fat (g),Total Fat (g) Category,Saturated Fat (g),Saturated Fat (g) Category,Trans Fat (g),Trans Fat (g) Category,Cholesterol (mg),Cholesterol (mg) Category,Sodium (mg),Sodium (mg) Category,Carbs (g),Carbs (g) Category,Fiber (g),Fiber (g) Category,Sugars (g),Sugars (g) Category,Protein (g),Protein (g) Category,Weight Watchers Pnts,Weight Watchers Pnts Category
Pizza Hut,Pan Pizza Slices Veggie Lover’s® Large,Breakfast,330,Low,244.5762712,Low,15,Low,5,Low,0,Low,25,Low,620,Low,38,Low,3,Low,3,Low,14,Low,510.8305085,Mid
Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Small,Pizza,140,Low,30,Low,4,Low,2,Low,0,Low,15,Low,250,Low,20,Low,1,Low,4,Low,6,Low,40,Low
Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Medium,Pizza,220,Low,30,Low,7,Low,3,Low,0,Low,20,Low,390,Low,31,Low,2,Low,6,Low,10,Low,40,Low
Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Large,Pizza,300,Low,30,Low,10,Low,4.5,Low,0,Low,30,Low,530,Low,40,Low,2,Low,7,Low,14,Low,40,Low
Pizza Hut,Hand Tossed Slices Beyond Meat® Pepperoni Medium,Pizza,200,Low,30,Low,7,Low,3.5,Low,0,Low,15,Low,410,Low,26,Low,2,Low,1,Low,9,Low,40,Low
Pizza Hut,Hand Tossed Slices Beyond Meat® Pepperoni Large,Pizza,280,Low,30,Low,10,Low,5,Low,0,Low,20,Low,560,Low,35,Low,3,Low,2,Low,12,Low,40,Low
Pizza Hut,Hand Tossed Slices Buffalo Chicken Small,Pizza,130,Low,30,Low,3.5,Low,1.5,Low,0,Low,10,Low,380,Low,19,Low,1,Low,1,Low,6,Low,40,Low
Pizza Hut,Hand Tossed Slices Buffalo Chicken Medium,Pizza,200,Low,30,Low,5,Low,2.5,Low,0,Low,20,Low,560,Low,28,Low,2,Low,1,Low,9,Low,40,Low
Pizza Hut,Hand Tossed Slices Buffalo Chicken Large,Pizza,270,Low,30,Low,8,Low,4,Low,0,Low,30,Low,740,Low,37,Low,2,Low,2,Low,13,Low,40,Low
Pizza Hut,Hand Tossed Slices Cheese Small,Pizza,130,Low,30,Low,4.5,Low,2,Low,0,Low,10,Low,250,Low,17,Low,1,Low,1,Low,6,Low,40,Low
Pizza Hut,Hand Tossed Slices Cheese Medium,Pizza,210,Low,30,Low,8,Low,3.5,Low,0,Low,20,Low,390,Low,26,Low,2,Low,1,Low,10,Low,40,Low
Pizza Hut,Hand Tossed Slices Cheese Large,Pizza,290,Low,30,Low,10,Low,5,Low,0,Low,30,Low,540,Low,34,Low,3,Low,2,Low,13,Low,40,Low
Pizza Hut,Hand Tossed Slices Chicken Bacon Parmesan Small,Pizza,150,Low,30,Low,6,Low,2.5,Low,0,Low,15,Low,270,Low,16,Low,1,Low,1,Low,7,Low,40,Low
Pizza Hut,Hand Tossed Slices Chicken Bacon Parmesan Medium,Pizza,230,Low,30,Low,9,Low,4,Low,0,Low,25,Low,410,Low,25,Low,2,Low,1,Low,11,Low,40,Low
Pizza Hut,Hand Tossed Slices Chicken Bacon Parmesan Large,Pizza,310,Low,30,Low,13,Low,5,Low,0,Low,35,Low,560,Low,33,Low,2,Low,1,Low,16,Low,40,Low
Pizza Hut,Hand Tossed Slices Hawaiian Chicken Small,Pizza,130,Low,30,Low,4,Low,1.5,Low,0,Low,10,Low,270,Low,17,Low,1,Low,1,Low,7,Low,40,Low
Pizza Hut,Hand Tossed Slices Hawaiian Chicken Medium,Pizza,210,Low,30,Low,6,Low,3,Low,0,Low,20,Low,420,Low,27,Low,2,Low,2,Low,10,Low,40,Low
Pizza Hut,Hand Tossed Slices Hawaiian Chicken Large,Pizza,280,Low,30,Low,9,Low,4,Low,0,Low,30,Low,580,Low,36,Low,3,Low,3,Low,15,Low,40,Low
Pizza Hut,Hand Tossed Slices Meat Lover’s® Small,Pizza,180,Low,30,Low,9,Low,3.5,Low,0,Low,20,Low,370,Low,17,Low,1,Low,1,Low,7,Low,40,Low
Pizza Hut,Hand Tossed Slices Meat Lover’s® Medium,Pizza,290,Low,30,Low,15,Low,6,Low,0,Low,30,Low,590,Low,26,Low,2,Low,1,Low,12,Low,40,Low
